"","councils","years"
"1161","A624",1991
"1162","A624",1991
"1163","A624",1991
"1164","A624",1991
"1165","A624",1991
"1166","A624",1991
"1167","A624",1991
"1168","A624",1991
"1169","A624",1991
"1170","A624",1991
"1171","A624",1991
"1172","A624",1991
"1173","A624",1991
"1174","A624",1991
"1175","A624",1991
"1176","A624",1991
"1177","A624",1991
"1178","A624",1991
"1179","A624",1991
"1180","A624",1991
"1181","A624",1991
"1182","A624",1991
"1183","A624",1991
"1184","A624",1991
"1185","A624",1991
"1186","A624",1991
"1187","A624",1991
"1188","A624",1991
"1189","A624",1991
"1190","A624",1991
"1191","A624",1991
"1192","A624",1991
"1193","A624",1991
"1194","A624",1991
"1195","A624",1991
"1196","A624",1991
"1197","A624",1991
"1198","A624",1991
"1199","A624",1991
"1200","A624",1991
"1201","A624",1991
"1202","A624",1991
"1203","A624",1991
"1204","A624",1991
"1205","A624",1991
"1206","A624",1991
"1207","A624",1991
"1208","A624",1991
"1209","A624",1991
"1210","A624",1991
"1211","A624",1991
"1212","A624",1991
"1213","A624",1991
"1214","A624",1991
"1215","A624",1991
"1216","A624",1991
"1217","A624",1991
"1218","A624",1991
"1219","A624",1991
"1220","A624",1991
"1221","A624",1991
"1222","A624",1991
"1223","A624",1991
"1224","A624",1991
"1225","A624",1991
"1226","A624",1991
"1227","A624",1991
"1228","A624",1991
"1229","A624",1991
"1230","A624",1991
"1231","A624",1991
"1232","A624",1991
"1233","A624",1991
"1234","A624",1991
"1235","A624",1991
"1236","A624",1991
"1237","A624",1991
"1238","A624",1991
"1239","A624",1991
"1240","A624",1991
"1241","A624",1991
"1242","A624",1991
"1243","A624",1991
"1244","A624",1991
"1245","A624",1991
"1246","A624",1991
"1247","A624",1991
"1248","A624",1991
"1249","A624",1991
"1250","A624",1991
"1251","A624",1991
"1252","A624",1991
"1253","A624",1991
"1254","A624",1991
"1255","A624",1991
"1256","A624",1991
"1257","A624",1991
"1258","A624",1991
"1259","A624",1991
"1260","A624",1991
"1261","A624",1991
"1262","A624",1991
"1263","A624",1991
"1264","A624",1991
"1265","A624",1991
"1266","A624",1991
"1267","A624",1991
"1268","A624",1991
"1269","A624",1991
"1270","A624",1991
"1271","A624",1991
"1272","A624",1991
"1273","A624",1991
"1274","A624",1991
"1275","A624",1991
"1276","A624",1991
"1277","A624",1991
"1278","A624",1991
"1279","A624",1991
"1280","A624",1991
"1281","A624",1991
"1282","A624",1991
"1283","A624",1991
"1284","A624",1991
"1285","A624",1991
"1286","A624",1991
"1287","A624",1991
"1288","A624",1991
"1289","A624",1991
"1290","A624",1991
"1291","A624",1991
"1292","A624",1991
"1293","A624",1991
"1294","A624",1991
"1295","A624",1991
"1296","A624",1991
"1297","A624",1991
